order_line_id,order_id,customer_id,product_id,quantity,unit_price,currency,status,created_at
L-0014302,O-010712,C-01716,P-0531,3,345.39,eur,COMPLETED,2025-04-13 06:19:25
L-0014014,O-010491,C-03019,P-0386,2,493.38,usd,COMPLETED,2025/13/45 25:99:99
L-0021272,O-015911,C-03337,P-0315,1,186.36,USD,Completed,2025-03-14 10:12:53
L-0000470,O-000346,C-03299,P-0466,3,351.39,EUR,Completed,2026-08-09 11:20:31
L-0027025,O-020200,C-04104,P-0220,2,201.80,USD,Completed,2025-08-24 18:47:06
L-0022804,O-017035,C-04055,P-0107,1,227.43,eur,COMPLETED,11/10/2025 16:57
L-0026623,O-019900,C-03277,P-0570,1,272.07,Usd,COMPLETED,2025-12-31 23:00:27
L-0015422,O-011544,C-00791,P-0013,1,323.71,USD,CANCELLED,2026-01-30 15:49:02
L-0007714,O-005784,C-00077,P-0117,3,380.47,USD,CANCELLED,2026-03-13 18:43:08
L-0000147,O-000106,C-01126,P-0177,1,220.37,GBP,COMPLETED,09/17/2026 12:42
L-0031542,O-023554,C-03320,P-0252,2,434.41,Usd,COMPLETED,2025-08-10 21:00:50
L-0018507,O-013854,C-04252,P-0003,1,430.01,USD,completed,2025-10-17 20:57:59
L-0011126,O-008336,C-03233,P-0206,1,118.68,USD,COMPLETED,05/04/2025 20:38
L-0013322,O-009964,C-01747,P-0535,1,10.31,Usd,COMPLETED,2026-07-12 04:47:06
L-0029650,O-022144,C-00641,P-0483,4,296.21,USD,COMPLETED,2025-07-21 23:00:44
L-0015243,O-011417,C-03165,P-0440,1,316.86,USD,COMPLETED,2026-07-01 17:27:05
L-0026049,O-019470,C-00237,P-0019,1,414.68,USD,COMPLETED,2025-11-25 06:21:51
L-0015887,O-011897,C-01626,P-0360,1,301.80,USD,COMPLETED,2026-04-19 11:13:31
L-0001708,O-001273,C-01055,P-0398,1,151.20,usd,Completed,2025-06-09 18:08:01
L-0018579,O-013906,C-02973,P-0189,2,374.66,EUR,CANCELLED,2026-08-29 14:23:27
L-0024386,O-018227,C-03063,P-0337,1,52.07,Usd,cancelled,2026-01-06
L-0014863,O-011134,C-00176,P-0482,3,112.73,USD,COMPLETED,2025-06-01
L-0010840,O-008118,C-03420,P-0424,1,30.57,usd,completed,2025-07-18 11:44:31
L-0028676,O-021413,C-03485,P-0536,1,108.48,usd,COMPLETED,03/02/2026 22:25
L-0003477,O-002612,C-01848,P-0368,2,337.26,Eur,COMPLETED,
L-0006972,O-005236,C-02002,P-0392,5,65.35,Gbp,cancelled,2025-04-08 20:58:30
L-0029797,O-022255,C-00576,P-0598,2,318.72,Usd,COMPLETED,2025-09-11 22:06:19
L-0028247,O-021090,C-03285,P-0586,1,317.26,usd,CANCELLED,2025-12-04 22:39:08
L-0031371,O-023424,C-00196,P-0069,2,20.25,usd,COMPLETED,2026-04-18 12:04:20
L-0022772,O-017013,C-03553,P-0566,2,336.75,USD,cancelled,2025-06-30 17:04:20
L-0019802,O-014834,C-02952,P-0374,3,160.65,USD,COMPLETED,2025-05-24 13:38:33
L-0008635,O-006465,C-03488,P-0277,1,162.41,eur,completed,2026-07-31 08:10:51
L-0001000,O-000729,C-03723,P-0159,3,364.86,EUR,completed,10/29/2025 03:06
L-0026220,O-019600,C-04853,P-0558,2,240.05,GBP,COMPLETED,2026-01-21 03:17:26
L-0009099,O-006816,C-03624,P-0067,1,281.81,USD,COMPLETED,04/01/2026 05:53
L-0012749,O-009548,C-03579,P-0328,1,268.70,usd,completed,12/10/2025 10:38
L-0026004,O-019435,C-00083,P-0426,2,401.73,GBP,COMPLETED,
L-0030709,O-022934,C-00904,P-0224,1,478.03,USD,completed,2026-09-02 06:33:48
L-0009830,O-007355,C-00179,P-0090,1,276.46,eur,COMPLETED,2026-06-22
L-0001951,O-001459,C-04111,P-0563,2,422.58,usd,completed,2025-03-13 18:48:42
L-0013233,O-009900,C-03808,P-0294,1,54.06,usd,Completed,2025-10-06 18:33:44
L-0031943,O-023857,C-02312,P-0110,3,451.79,USD,COMPLETED,2025-08-16 06:36:47
L-0015200,O-011383,C-01416,P-0483,3,296.21,USD,COMPLETED,2026-08-27
L-0021251,O-015897,C-02796,P-0012,-1,463.75,Usd,COMPLETED,2026-08-27 05:26:21
L-0003349,O-002516,C-04346,P-0426,2,401.73,USD,PENDING,2025-11-19 18:25:37
L-0010989,O-008233,C-01334,P-0094,2,193.61,Eur,COMPLETED,2026-07-26 14:24:09
L-0007930,O-005943,C-04347,P-0432,3,387.19,usd,REFUNDED,2025-08-11 02:19:01
L-0031884,O-023816,C-02786,P-0055,4,354.06,USD,completed,01/22/2026 06:16
L-0011658,O-008728,C-01676,P-0379,2,194.74,USD,COMPLETED,2025-05-23 16:03:29
L-0010011,O-007489,C-00938,P-0599,1,490.99,USD,completed,2026-07-04 16:13:20
L-0012610,O-009443,C-01631,P-0443,1,368.64,Gbp,Pending,2025-09-16 19:20:53
L-0006126,O-004595,C-03237,P-0350,3,52.05,Usd,COMPLETED,2026-05-21 00:40:00
L-0013774,O-010306,C-00083,P-0588,1,172.73,USD,completed,11/15/2025 08:35
L-0020677,O-015476,C-02929,P-0064,3,383.67,Eur,COMPLETED,2026-05-08 02:48:31
L-0018034,O-013505,C-04510,P-0005,3,51.62,gbp,REFUNDED,2026-08-04 06:45:01
L-0009185,O-006874,C-01724,P-0288,2,189.94,gbp,completed,2026-03-12 21:50:33
L-0013995,O-010476,C-01342,P-0328,1,268.70,USD,COMPLETED,06/09/2026 04:19
L-0021716,O-016236,C-01627,P-0090,1,276.46,usd,Completed,2026-04-03 16:54:48
L-0017051,O-012763,C-03327,P-0562,2,125.62,USD,COMPLETED,2025-12-18 22:01:30
L-0012568,O-009414,C-00243,P-0304,1,259.54,eur,COMPLETED,2025-02-02 07:43:35
L-0021952,O-016405,C-04487,P-0357,1,383.14,USD,Completed,2026-05-12 15:06:48
L-0003535,O-002653,C-00997,P-0339,2,46.82,Usd,COMPLETED,2025-07-27 20:00:55
L-0007361,O-005522,C-01425,P-0380,1,366.19,usd,CANCELLED,2025-03-26 02:47:07
L-0017281,O-012931,C-02841,P-0361,1,465.96,USD,completed,2025-01-22
L-0005021,O-003750,C-01534,P-0253,1,229.68,eur,COMPLETED,07/26/2026 22:17
L-0022326,O-016673,C-01995,P-0572,1,423.02,USD,Completed,2025-04-24 10:05:06
L-0031481,O-023504,C-04754,P-0406,1,440.20,USD,Completed,2025-03-09 11:32:29
L-0021475,O-016059,C-03064,P-0446,2,356.40,usd,completed,2026-06-04 23:41:26
L-0003757,O-002816,C-00132,P-0422,1,22.90,EUR,COMPLETED,2025-05-29 12:03:13
L-0014119,O-010570,C-04152,P-0167,1,415.75,usd,completed,2026-06-27 12:41:44
L-0025707,O-019211,C-04587,P-0435,1,24.87,USD,CANCELLED,2025-05-06 10:40:56
L-0008287,O-006207,C-01571,P-0542,4,280.20,usd,Completed,06/04/2026 18:25
L-0015328,O-011475,C-04442,P-0367,5,388.29,EUR,COMPLETED,2025-07-14 11:08:23
L-0028515,O-021296,C-04037,P-0061,1,335.86,USD,Completed,2025-06-06 23:37:53
L-0003168,O-002376,C-03801,P-0293,3,462.80,USD,COMPLETED,2026-04-08 15:38:23
L-0030920,O-023098,C-02184,P-0368,1,337.26,USD,Completed,2025-02-07 03:07:00
L-0000328,O-000240,C-02632,P-0317,4,192.83,EUR,cancelled,2026-03-12 10:51:47
L-0011689,O-008754,C-01949,P-0082,4,206.16,usd,completed,2026-06-08 21:55:17
L-0027220,O-020346,C-01323,P-0173,1,131.70,Usd,cancelled,2025-10-05 13:11:48
L-0010432,O-007804,C-01005,P-0373,2,185.28,usd,completed,2026-03-04 01:19:35
L-0021600,O-016153,C-04257,P-0569,2,186.47,USD,COMPLETED,2025-02-14 05:19:06
L-0009079,O-006800,C-03114,P-0423,2,7.69,Usd,COMPLETED,09/16/2025 18:37
L-0021595,O-016148,C-00995,P-0444,3,100.56,usd,Completed,2026-07-17 13:17:35
L-0027369,O-020453,C-02598,P-0600,1,312.08,usd,completed,2025-03-14 23:13:50
L-0026321,O-019678,C-04952,P-0442,2,81.83,Usd,Completed,2025-02-03
L-0004594,O-003446,C-01274,P-0151,3,414.01,EUR,Completed,2026-08-26 22:40:58
L-0029486,O-022017,C-01049,P-0372,3,138.91,usd,Completed,2025-02-22 06:00:58
L-0014749,O-011048,C-03390,P-0457,1,490.11,Usd,Completed,2025-05-16 20:21:23
L-0012657,O-009481,C-03909,P-0412,1,326.81,USD,COMPLETED,2025-08-09 18:31:40
L-0029520,O-022044,C-04178,P-0479,2,319.14,EUR,completed,2025-05-25
L-0023093,O-017258,C-01987,P-0109,1,52.71,USD,CANCELLED,2026-06-22
L-0012159,O-009106,C-04623,P-0178,3,496.23,USD,COMPLETED,2025-12-21 15:11:50
L-0018297,O-013697,C-04365,P-0043,3,351.63,EUR,Completed,2025-12-28 16:55:52
L-0005608,O-004202,C-04676,P-0451,1,25.96,Usd,Completed,not-a-date
L-0020127,O-015073,C-03866,P-0025,3,390.30,eur,Completed,2025-08-13 20:16:26
L-0021393,O-016001,C-01486,P-0392,1,65.35,USD,Completed,08/27/2026 22:54
L-0006337,O-004761,C-04876,P-0443,4,368.64,USD,Completed,2025-03-03 01:59:16
L-0016485,O-012347,C-00189,P-0385,1,191.30,usd,COMPLETED,2025-08-03
L-0018500,O-013848,C-04637,P-0488,1,116.67,USD,COMPLETED,2025-02-22 18:14:43
L-0018775,O-014054,C-02580,P-0340,1,468.29,Usd,COMPLETED,2026-07-09 14:04:25
L-0011423,O-008551,C-01105,P-0503,2,460.92,USD,completed,2025-10-02 15:36:03
L-0020737,O-015526,C-00500,P-0054,1,334.10,Usd,CANCELLED,2026-04-16 13:58:39
L-0014005,O-010483,C-00782,P-0120,1,315.52,Usd,Completed,2025-03-22 16:29:20
L-0024734,O-018493,C-02950,P-0181,1,445.94,USD,COMPLETED,2025-06-22 22:16:53
L-0011339,O-008495,C-02269,P-0196,1,93.74,Usd,COMPLETED,2026-04-19 12:08:17
L-0024969,O-018668,C-04561,P-0490,2,285.06,USD,COMPLETED,2025-05-22 19:39:29
L-0015896,O-011902,C-00937,P-0092,1,349.68,usd,COMPLETED,2026-02-16 01:24:42
L-0010745,O-008045,C-04926,P-0494,1,161.53,USD,COMPLETED,05/27/2025 13:15
L-0013204,O-009876,C-02524,P-0328,1,268.70,USD,COMPLETED,2026-09-13 20:52:05
L-0020453,O-015312,C-03504,P-0595,2,8.62,usd,COMPLETED,2025-12-25
L-0004387,O-003284,C-03200,P-0294,2,54.06,EUR,COMPLETED,04/17/2026 07:13
L-0015764,O-011806,C-03847,P-0252,1,434.41,USD,completed,06/08/2026 09:37
L-0024596,O-018388,C-00974,P-0444,3,100.56,USD,Completed,2026-09-05 00:10:08
L-0001611,O-001197,C-01807,P-0046,1,403.36,USD,COMPLETED,2026-03-01 13:59:29
L-0001643,O-001224,C-00864,P-0140,2,45.95,usd,COMPLETED,08/12/2026 09:24
L-0001581,O-001175,C-04701,P-0013,1,323.71,Eur,COMPLETED,2025-12-13
L-0027829,O-020788,C-04217,P-0565,1,326.33,Usd,Completed,2025-08-21 13:05:59
L-0006024,O-004513,C-04828,P-0370,1,449.69,EUR,cancelled,2026-04-08 10:09:42
L-0008534,O-006386,C-04496,P-0556,1,120.26,usd,CANCELLED,03/25/2026 14:26
L-0009352,O-007001,C-00598,P-0014,2,412.27,usd,completed,2025-05-04 15:18:29
L-0001315,O-000975,C-01240,P-0093,3,225.85,gbp,Completed,2025-09-28 10:22:46
L-0016055,O-012031,C-04446,P-0409,1,57.68,Usd,completed,04/17/2026 03:21
L-0003413,O-002565,C-04142,P-0186,1,332.52,gbp,completed,2026-08-20 02:08:41
L-0010055,O-007522,C-01990,P-0447,1,490.20,usd,Completed,2026-04-28 21:58:16
L-0006971,O-005235,C-03141,P-0018,1,36.59,USD,COMPLETED,2025-04-06 05:46:05
L-0019861,O-014879,C-03171,P-0370,1,449.69,USD,Completed,2026-07-07 15:23:02
L-0017571,O-013149,C-03367,P-0297,2,489.89,usd,Completed,2025-09-17 04:53:28
L-0000578,O-000420,C-04865,P-0277,5,162.41,Usd,Completed,2026-02-27 16:33:27
L-0010062,O-007526,C-03809,P-0050,3,74.18,EUR,COMPLETED,2026-08-06 21:35:48
L-0001292,O-000957,C-03434,P-0400,1,223.95,eur,COMPLETED,12/04/2025 17:28
L-0024499,O-018310,C-04114,P-0254,1,127.68,USD,completed,2025-02-06 09:08:37
L-0024269,O-018136,C-04827,P-0258,1,57.11,USD,completed,2026-06-29 05:34:36
L-0023324,O-017430,C-00201,P-0051,3,103.95,USD,COMPLETED,04/16/2025 04:35
L-0014903,O-011163,C-00929,P-0549,-1,378.89,USD,COMPLETED,2026-01-03 01:38:08
L-0024803,O-018543,C-03699,P-0412,2,326.81,GBP,Completed,2026-07-08 19:34:06
L-0009879,O-007390,C-01541,P-0259,1,37.95,usd,REFUNDED,09/09/2026 13:41
L-0000273,O-000202,C-04927,P-0056,1,391.46,USD,COMPLETED,2025-07-23 09:10:51
L-0007906,O-005926,C-04133,P-0253,1,229.68,usd,Cancelled,2025-10-09 19:07:09
L-0013755,O-010293,C-04394,P-0127,4,168.28,USD,COMPLETED,2026-09-11 11:36:05
L-0024758,O-018511,C-04846,P-0096,1,316.99,usd,COMPLETED,2025-06-19 23:39:44
L-0005451,O-004091,C-02400,P-0020,1,348.46,usd,Completed,2026-08-14 05:48:11
L-0031855,O-023795,C-03770,P-0347,1,473.28,USD,completed,2025-04-12 09:58:16
L-0025149,O-018795,C-04769,P-0171,5,149.00,USD,COMPLETED,10/13/2025 14:52
L-0004877,O-003653,C-00698,P-0098,2,48.39,usd,Completed,10/30/2025 16:16
L-0026858,O-020075,C-03935,P-0511,1,40.67,usd,COMPLETED,2025-06-16 16:59:11
L-0027810,O-020775,C-03466,P-0598,1,318.72,Usd,COMPLETED,2026-01-24 08:21:21
L-0013724,O-010268,C-02547,P-0280,1,426.31,usd,Completed,2026-07-28 00:54:13
L-0031495,O-023516,C-01797,P-0085,2,16.24,GBP,Completed,2025-05-02 21:07:59
L-0017685,O-013236,C-03275,P-0490,3,285.06,usd,cancelled,2026-03-21
L-0003426,O-002575,C-04746,P-0474,1,71.38,USD,cancelled,2025-02-12 21:42:09
L-0012211,O-009145,C-01943,P-0055,1,354.06,USD,COMPLETED,2026-01-17
L-0015180,O-011370,C-02338,P-0245,2,304.98,EUR,COMPLETED,
L-0013066,O-009778,C-03709,P-0115,2,92.50,USD,pending,2026-05-26 12:22:41
L-0015813,O-011847,C-02532,P-0218,1,66.26,USD,completed,2026-02-20 21:07:44
L-0002222,O-001661,C-04847,P-0044,4,159.62,usd,Completed,2026-06-09 10:54:20
L-0026615,O-019895,C-01587,P-0237,4,236.35,Usd,COMPLETED,2025-03-18 11:19:14
L-0010531,O-007882,C-01110,P-0434,2,419.80,USD,Completed,01/09/2026 21:04
L-0008453,O-006328,C-01025,P-0466,2,351.39,eur,refunded,07/25/2025 09:19
L-0017181,O-012858,C-01878,P-0142,2,247.90,USD,Completed,2026-09-06 14:03:15
L-0008755,O-006557,C-00485,P-0289,1,264.26,Usd,COMPLETED,2025-02-20 11:22:46
L-0002082,O-001553,C-01741,P-0161,2,58.33,USD,Completed,2025-02-26 10:13:36
L-0007632,O-005723,C-04235,P-0058,1,286.53,Usd,Completed,2025-05-31
L-0025712,O-019213,C-00826,P-0286,3,211.05,USD,completed,2026-04-04 07:49:35
L-0018995,O-014213,C-00669,P-0559,1,295.29,USD,COMPLETED,2025-03-01 04:48:24
L-0015137,O-011341,C-04527,P-0038,2,240.47,Usd,Completed,2026-06-03 22:56:47
L-0003809,O-002854,C-02086,P-0059,2,74.20,usd,completed,10/21/2025 00:05
L-0020488,O-015339,C-02154,P-0097,1,184.10,usd,COMPLETED,2025-11-16
L-0021377,O-015988,C-02250,P-0162,1,458.43,USD,COMPLETED,2025-02-04 18:55:58
L-0027708,O-020704,C-03689,P-0261,3,77.36,USD,COMPLETED,2026-05-02 21:47:10
L-0003811,O-002856,C-01718,P-0121,1,294.13,Eur,completed,2026-07-11 03:51:32
L-0030380,O-022690,C-01888,P-0051,2,103.95,eur,PENDING,2026-04-27
L-0024787,O-018532,C-03864,P-0204,2,76.23,usd,COMPLETED,2025-08-12 02:33:22
L-0018539,O-013878,C-01999,P-0185,1,387.15,usd,completed,04/03/2025 06:12
L-0022541,O-016840,C-00293,P-0307,1,195.62,usd,Completed,2025-09-03 12:52:52
L-0018060,O-013523,C-01603,P-0115,2,92.50,USD,CANCELLED,2026-02-15 23:03:03
L-0023929,O-017888,C-04667,P-0421,1,329.85,USD,COMPLETED,2025-08-19
L-0016865,O-012628,C-03357,P-0186,1,332.52,USD,completed,2026-01-25 08:17:23
L-0031953,O-023864,C-01112,P-0390,1,426.01,usd,cancelled,06/19/2025 19:41
L-0001058,O-000776,C-03935,P-0337,2,52.07,usd,Completed,2025-03-04 17:16:09
L-0018658,O-013964,C-03604,P-0078,2,332.65,EUR,COMPLETED,2026-07-19
L-0011531,O-008632,C-04974,P-0331,4,368.77,usd,completed,06/07/2026 20:26
L-0010832,O-008113,C-01029,P-0102,1,351.36,usd,CANCELLED,2025-02-06 15:31:39
L-0005670,O-004243,C-01263,P-0166,2,188.61,Usd,Completed,2026-03-10 02:59:59
L-0019500,O-014589,C-02162,P-0204,1,76.23,usd,completed,2025-06-08 11:37:18
L-0006961,O-005227,C-00847,P-0502,2,443.77,usd,Completed,2026-03-22 08:55:50
L-0005117,O-003828,C-03114,P-0492,5,342.02,USD,Completed,2026-09-20 16:37:18
L-0003305,O-002485,C-01593,P-0058,1,286.53,Gbp,completed,2025-10-12 18:46:20
L-0002063,O-001536,C-02017,P-0473,2,64.01,Eur,Completed,2025-08-30 09:23:50
L-0025518,O-019070,C-00597,P-0149,4,222.26,USD,Completed,2025-09-11 18:06:01
L-0009302,O-006968,C-03053,P-0252,2,434.41,USD,completed,not-a-date
L-0019287,O-014432,C-01611,P-0405,2,498.53,USD,completed,11/14/2025 15:47
L-0028349,O-021170,C-00371,P-0304,1,259.54,USD,Completed,2026-09-11 23:56:27
L-0022252,O-016619,C-04279,P-0596,4,142.62,usd,completed,2026-05-07 17:04:19
L-0020587,O-015413,C-00989,P-0557,1,163.62,Eur,completed,02/16/2025 19:56
L-0004849,O-003633,C-00037,P-0401,1,154.45,usd,COMPLETED,2026-01-22 09:34:21
L-0016904,O-012662,C-01609,P-0440,1,316.86,USD,COMPLETED,2026-05-20 03:50:20
L-0029189,O-021792,C-04708,P-0053,1,394.53,usd,COMPLETED,2025-11-03
L-0012805,O-009590,C-03411,P-0539,1,87.12,Usd,COMPLETED,2026-03-18 12:31:38
L-0010315,O-007722,C-01185,P-0527,5,479.42,USD,REFUNDED,06/07/2026 00:30
L-0000546,O-000398,C-03170,P-0071,3,111.22,USD,completed,2025-09-24 23:06:39
L-0027080,O-020244,C-00114,P-0295,1,422.57,USD,Completed,2026-07-22 12:08:07
L-0011830,O-008859,C-04563,P-0356,2,263.70,Usd,COMPLETED,12/15/2025 22:56
L-0021054,O-015763,C-00860,P-0107,1,227.43,USD,CANCELLED,2025-12-03 22:22:22
L-0023900,O-017867,C-02451,P-0093,1,225.85,USD,CANCELLED,2025-12-13 21:30:12
L-0011858,O-008877,C-02491,P-0521,4,428.99,usd,COMPLETED,2025-04-26 19:50:02
L-0001802,O-001345,C-01039,P-0590,1,17.29,EUR,completed,2025-09-21 04:01:45
L-0004243,O-003171,C-01302,P-0002,5,222.24,gbp,Completed,2025-03-08
L-0008105,O-006070,C-01537,P-0160,1,385.48,USD,completed,2026-08-03 02:39:26
L-0020789,O-015563,C-03928,P-0286,1,211.05,USD,Completed,
L-0006195,O-004654,C-02466,P-0097,2,184.10,Usd,completed,02/17/2026 20:34
L-0010989,O-008233,C-01334,P-0094,2,193.61,Eur,COMPLETED,2026-07-26 14:24:09
L-0019164,O-014336,C-01093,P-0113,3,156.45,Usd,Completed,06/25/2026 15:31
L-0002568,O-001931,C-00530,P-0395,2,11.09,usd,COMPLETED,2026-04-05 11:39:25
L-0008369,O-006263,C-04258,P-0165,2,279.65,USD,COMPLETED,2025-02-07 09:40:09
L-0000319,O-000232,C-04153,P-0050,1,74.18,USD,completed,2025-09-18 01:32:12
L-0025880,O-019342,C-00597,P-0461,2,288.34,USD,COMPLETED,2025-04-22 08:54:27
L-0013913,O-010412,C-02350,P-0135,4,297.50,usd,completed,08/09/2026 15:23
L-0009430,O-007059,C-04198,P-0272,1,91.45,USD,COMPLETED,2026-07-09 06:36:49
L-0023710,O-017722,C-04793,P-0347,1,473.28,USD,completed,not-a-date
L-0031731,O-023691,C-04086,P-0365,1,330.64,usd,COMPLETED,2025-02-01 21:54:07
L-0010184,O-007625,C-00210,P-0378,5,221.76,USD,COMPLETED,2025-02-08 22:37:11
L-0028842,O-021538,C-00685,P-0115,2,92.50,Usd,completed,2025-04-14 09:20:26
L-0017066,O-012771,C-01878,P-0564,1,337.37,Usd,completed,2025-08-10 13:01:43
L-0018993,O-014212,C-04010,P-0126,1,249.53,Usd,CANCELLED,07/23/2025 09:02
L-0025948,O-019396,C-00150,P-0079,1,280.73,Gbp,completed,2025-08-23
L-0012524,O-009382,C-02631,P-0328,4,268.70,usd,completed,2025-05-10 16:21:34
L-0023835,O-017818,C-00397,P-0397,2,413.57,Usd,COMPLETED,2025-03-18 09:29:45
L-0020145,O-015087,C-02995,P-0230,2,57.42,Usd,COMPLETED,2025-09-08 01:26:06
L-0020530,O-015371,C-01493,P-0576,1,254.87,Gbp,COMPLETED,2025-12-19 03:57:42
L-0027411,O-020483,C-00497,P-0320,1,474.68,Usd,refunded,2026-03-06 00:40:00
L-0019417,O-014529,C-01396,P-0411,1,334.51,USD,CANCELLED,2025-10-25 06:14:18
L-0007584,O-005687,C-04504,P-0448,2,307.71,Usd,Completed,2025-09-15 16:02:13
L-0025126,O-018779,C-01533,P-0196,1,93.74,USD,CANCELLED,2025-12-10 16:58:26
L-0006585,O-004956,C-03359,P-0039,1,117.32,USD,COMPLETED,2025-03-30 09:06:25
L-0018632,O-013944,C-01132,P-0518,1,372.63,EUR,Completed,2025-02-20 19:34:18
L-0030766,O-022978,C-01715,P-0564,5,337.37,USD,Pending,2025-02-01
L-0007100,O-005333,C-04419,P-0168,5,405.08,Eur,COMPLETED,2026-07-20 11:24:27
L-0002597,O-001950,C-02537,P-0222,2,246.85,USD,COMPLETED,2025-07-23 13:37:56
L-0008556,O-006403,C-04754,P-0331,1,368.77,eur,COMPLETED,2025-10-07 16:39:57
L-0003625,O-002719,C-04854,P-0110,2,451.79,Usd,COMPLETED,05/29/2026 09:29
L-0015206,O-011387,C-04971,P-0395,4,11.09,USD,Completed,2025-07-08
L-0013423,O-010042,C-01211,P-0227,1,17.31,usd,completed,09/28/2025 20:22
L-0015382,O-011514,C-04431,P-0449,2,31.98,eur,Completed,2025-08-12 11:44:40
L-0016622,O-012447,C-00035,P-0374,4,160.65,usd,completed,04/19/2026 11:05
